2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).__init__(33) | Cache instruments map exist
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2000-C.100ms'], 'usIn': 1690204007440075, 'usOut': 1690204007440171, 'usDiff': 96, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2000-P.100ms'], 'usIn': 1690204007489686, 'usOut': 1690204007489826, 'usDiff': 140, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2050-C.100ms'], 'usIn': 1690204007547286, 'usOut': 1690204007547444, 'usDiff': 158, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2050-P.100ms'], 'usIn': 1690204007611296, 'usOut': 1690204007611417, 'usDiff': 121, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2100-C.100ms'], 'usIn': 1690204007650627, 'usOut': 1690204007650731, 'usDiff': 104, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2100-P.100ms'], 'usIn': 1690204007704336, 'usOut': 1690204007704448, 'usDiff': 112, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2150-C.100ms'], 'usIn': 1690204007757499, 'usOut': 1690204007757609, 'usDiff': 110, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-2150-P.100ms'], 'usIn': 1690204007812315, 'usOut': 1690204007812434, 'usDiff': 119, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-PERPETUAL.100ms'], 'usIn': 1690204007864148, 'usOut': 1690204007864233, 'usDiff': 85, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-PERPETUAL.100ms'], 'usIn': 1690204007917717, 'usOut': 1690204007917788, 'usDiff': 71, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1600-C.none.1.100ms'], 'usIn': 1690204007974670, 'usOut': 1690204007974803, 'usDiff': 133, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1600-C.none.1.100ms', 'data': {'timestamp': 1690204006162, 'instrument_name': 'ETH-26JUL23-1600-C', 'change_id': 34498871678, 'bids': [[0.129, 34.0]], 'asks': [[0.1405, 27.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1600-P.none.1.100ms'], 'usIn': 1690204008025178, 'usOut': 1690204008025270, 'usDiff': 92, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1600-P.none.1.100ms', 'data': {'timestamp': 1690204006169, 'instrument_name': 'ETH-26JUL23-1600-P', 'change_id': 34499481315, 'bids': [], 'asks': [[0.0002, 28.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1650-C.none.1.100ms'], 'usIn': 1690204008081846, 'usOut': 1690204008081923, 'usDiff': 77, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1650-C.none.1.100ms', 'data': {'timestamp': 1690204006166, 'instrument_name': 'ETH-26JUL23-1650-C', 'change_id': 34498867702, 'bids': [[0.1025, 28.0]], 'asks': [[0.116, 29.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1650-P.none.1.100ms'], 'usIn': 1690204008130664, 'usOut': 1690204008130754, 'usDiff': 90, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1650-P.none.1.100ms', 'data': {'timestamp': 1690204006166, 'instrument_name': 'ETH-26JUL23-1650-P', 'change_id': 34499483710, 'bids': [[0.0001, 28.0]], 'asks': [[0.0003, 352.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1700-C.none.1.100ms'], 'usIn': 1690204008186996, 'usOut': 1690204008187094, 'usDiff': 98, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1700-C.none.1.100ms', 'data': {'timestamp': 1690204006168, 'instrument_name': 'ETH-26JUL23-1700-C', 'change_id': 34498867727, 'bids': [[0.0755, 30.0]], 'asks': [[0.089, 30.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1700-P.none.1.100ms'], 'usIn': 1690204008238800, 'usOut': 1690204008238920, 'usDiff': 120, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1700-P.none.1.100ms', 'data': {'timestamp': 1690204008186, 'instrument_name': 'ETH-26JUL23-1700-P', 'change_id': 34499492706, 'bids': [[0.0003, 34.0]], 'asks': [[0.0005, 83.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1750-C.none.1.100ms'], 'usIn': 1690204008294405, 'usOut': 1690204008294504, 'usDiff': 99, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1750-C.none.1.100ms', 'data': {'timestamp': 1690204008187, 'instrument_name': 'ETH-26JUL23-1750-C', 'change_id': 34498867709, 'bids': [[0.049, 29.0]], 'asks': [[0.0625, 30.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1750-P.none.1.100ms'], 'usIn': 1690204008353384, 'usOut': 1690204008353660, 'usDiff': 276, 'testnet': False}
